iter	Passed	Remaining
0	2	812
1	5	789
2	8	784
3	11	776
4	14	783
5	17	782
6	20	785
7	23	796
8	27	798
9	29	794
10	32	789
11	35	784
12	40	809
13	42	799
14	45	794
15	48	783
16	51	777
17	54	784
18	57	778
19	60	773
20	63	769
21	66	767
22	69	765
23	73	767
24	76	767
25	79	765
26	82	760
27	86	760
28	89	759
29	92	756
30	95	753
31	98	749
32	101	745
33	104	742
34	107	740
35	111	737
36	114	736
37	117	733
38	120	732
39	124	729
40	127	725
41	130	722
42	134	724
43	137	722
44	140	719
45	143	714
46	146	711
47	149	707
48	152	703
49	155	699
50	158	695
51	161	692
52	164	688
53	167	686
54	171	684
55	174	681
56	177	678
57	180	674
58	183	671
59	186	668
60	189	666
61	193	663
62	196	660
63	199	657
64	202	654
65	205	651
66	208	647
67	211	643
68	214	640
69	217	637
70	220	633
71	223	630
72	226	626
73	229	623
74	232	620
75	235	616
76	238	613
77	241	610
78	244	606
79	247	603
80	251	601
81	254	598
82	257	595
83	260	592
84	263	588
85	266	586
86	269	583
87	272	579
88	275	576
89	279	573
90	282	571
91	285	567
92	288	565
93	291	562
94	295	559
95	298	556
96	301	553
97	304	550
98	307	546
99	310	543
100	314	541
101	317	538
102	320	535
103	324	533
104	327	530
105	330	527
106	333	523
107	336	521
108	340	517
109	343	514
110	346	511
111	349	508
112	352	505
113	355	502
114	358	499
115	362	497
116	365	494
117	368	490
118	372	487
119	375	484
120	378	482
121	382	479
122	385	476
123	388	473
124	392	470
125	395	467
126	398	464
127	401	461
128	404	458
129	408	455
130	411	451
131	414	448
132	417	445
133	420	442
134	423	438
135	426	436
136	429	433
137	433	430
138	436	426
139	439	423
140	442	420
141	445	417
142	449	414
143	452	411
144	455	408
145	459	405
146	462	402
147	465	399
148	468	396
149	472	393
150	475	390
151	478	387
152	481	384
153	484	380
154	487	377
155	490	374
156	493	371
157	496	367
158	500	364
159	503	361
160	506	358
161	510	356
162	513	352
163	516	349
164	520	346
165	523	343
166	526	340
167	529	337
168	532	334
169	535	330
170	539	328
171	542	324
172	545	321
173	549	318
174	552	315
175	555	312
176	559	309
177	562	306
178	565	303
179	568	300
180	572	297
181	575	294
182	578	290
183	581	287
184	585	284
185	588	281
186	591	278
187	594	275
188	597	272
189	601	269
190	604	265
191	608	262
192	611	259
193	614	256
194	617	253
195	621	250
196	624	247
197	627	244
198	630	240
199	634	237
200	638	234
201	641	231
202	644	228
203	647	225
204	651	222
205	654	219
206	657	216
207	660	212
208	664	209
209	667	206
210	670	203
211	673	200
212	676	197
213	680	193
214	683	190
215	686	187
216	690	184
217	693	181
218	696	178
219	699	174
220	702	171
221	705	168
222	709	165
223	711	161
224	714	158
225	717	155
226	720	152
227	723	149
228	726	146
229	730	142
230	733	139
231	736	136
232	739	133
233	743	130
234	745	126
235	748	123
236	752	120
237	755	117
238	758	114
239	762	111
240	764	107
241	768	104
242	771	101
243	774	98
244	778	95
245	781	92
246	784	88
247	787	85
248	790	82
249	793	79
250	796	76
251	799	73
252	802	69
253	806	66
254	809	63
255	812	60
256	816	57
257	819	53
258	822	50
259	825	47
260	829	44
261	832	41
262	835	38
263	839	34
264	842	31
265	846	28
266	850	25
267	854	22
268	856	19
269	859	15
270	863	12
271	866	9
272	869	6
273	872	3
274	875	0
885	9
273	888	6
274	890	3
275	893	0

272	925	10
273	928	6
274	931	3
275	934	0
8	1065	15
269	1068	11
270	1071	7
271	1074	3
272	1077	0
